cumulative_distance,cumulative_dose
0.000000000000000000e+00,0.000000000000000000e+00
2.408318915758458800e+00,5.401211462854653331e-09
4.057561166005524633e+00,1.431990995504139726e-07
5.754617440853238897e+00,1.644920364930841231e-06
7.451673715700952272e+00,1.319407174261770365e-05
9.240528097700783761e+00,1.443374491455735748e-05
1.102938247970061525e+01,1.446086788076744093e-05
1.267862472994768019e+01,1.446137292924641257e-05
1.507862472994767877e+01,1.446148067854505379e-05
1.667862472994767842e+01,1.446149467475473886e-05
1.827862472994767984e+01,1.446149672669652253e-05
2.107862472994767700e+01,1.446149678960702833e-05
2.272786698019474372e+01,1.446149679056267462e-05
2.432786698019474514e+01,1.446149679060945286e-05
2.774546847832175800e+01,1.446149680181700996e-05
3.062990949869294965e+01,1.446152019766332743e-05
3.382990949869294894e+01,1.446602065246099516e-05
3.702990949869294468e+01,1.471614451974877103e-05
4.025481259801236433e+01,1.678841207711532241e-05
4.345481259801236718e+01,2.863882790381818664e-05
4.650112184035792495e+01,2.866034294339737395e-05
5.050112184035792495e+01,2.882162644158625436e-05
5.444066496107636510e+01,2.920040581245562865e-05
5.766556806039578476e+01,3.584285552516928953e-05
6.110649816721283401e+01,8.432881409388575701e-04
6.275574041745989717e+01,1.081172044276448212e-03
6.693186302102411389e+01,1.081373216395873499e-03
6.997817226336968588e+01,1.081381078401594427e-03
7.397817226336968588e+01,1.081381078752679040e-03
7.757817226336968019e+01,1.081381078752685545e-03
8.077817226336968304e+01,1.081381078752685545e-03
8.237817226336967735e+01,1.081381078752685545e-03
8.595588102736934388e+01,1.081381078752685545e-03
8.953358979136901041e+01,1.081381078753625765e-03
9.393358979136901610e+01,1.081381308103478460e-03
9.845907319096291133e+01,1.081502286641667894e-03
1.020367819549625779e+02,1.100963271634227423e-03
1.068367819549625892e+02,1.101156811832054109e-03
1.107965799296072475e+02,1.102605659901862096e-03
1.156297983190450793e+02,1.429981430386987207e-03
1.200297983190450850e+02,2.561012937430794945e-01
1.248464361505620133e+02,5.011926025930610962e+01
1.276748632753081978e+02,1.473344571461287273e+02
1.322355649757047615e+02,2.673974043586912330e+02
1.338848072259518176e+02,3.782978939136070835e+02
1.388967928604084818e+02,3.853869715530479425e+02
1.436967928604084932e+02,3.855140754290799237e+02
1.469216959597279129e+02,3.857590450153757047e+02
1.487105503417277532e+02,3.858014452608677516e+02
1.519354534410471729e+02,3.859182811851284782e+02
1.558749965617656130e+02,3.864470854222139451e+02
1.590998996610850327e+02,3.910084688973737457e+02
1.639825219073784979e+02,4.091153477870793722e+02
1.675602306713781786e+02,4.173246328009947206e+02
1.707602306713781672e+02,4.234713356518354885e+02
1.751783750782530831e+02,4.250466401385813811e+02
1.796505110332526556e+02,4.316482765437427247e+02
1.826968202755982134e+02,4.485998745228156395e+02
1.857431295179437711e+02,5.584132356642128343e+02
1.898223451288180001e+02,5.656495371144030742e+02
1.934223451288179945e+02,5.744369934726257725e+02
1.968164576785134159e+02,5.792569660709721120e+02
1.996448848032596004e+02,5.802255172141894946e+02
2.035844279239780406e+02,5.802379623411253533e+02
2.078925597696856471e+02,5.802390264817448724e+02
2.114702685336852994e+02,5.803265013956660141e+02
2.165299127899546932e+02,5.935994052565760057e+02
2.226356477989442055e+02,6.265054697722541732e+02
2.242848900491912616e+02,6.300476570726848422e+02
