cumulative_distance,cumulative_dose
0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000888e+00,0.000000000000000000e+00
6.224903099319419653e+00,2.587434516194912162e-17
8.378969022173221148e+00,2.093218309934169587e-16
1.117896902217322008e+01,8.142342228097611145e-13
1.317896902217322008e+01,1.147393346411496568e-10
1.533303494502702158e+01,1.718864814498164620e-08
1.733303494502702335e+01,4.766285587051294223e-07
1.937264275046413786e+01,2.451475129672489486e-05
2.137264275046413786e+01,8.776512446849586181e-04
2.467112725095826420e+01,9.643612331662909133e-04
2.867112725095826420e+01,9.680319716852986856e-04
3.267112725095826420e+01,9.682205498740388766e-04
3.661067037167670435e+01,1.201019542722669541e-03
3.973477024203936736e+01,1.012090084904112945e-02
4.420690619703894697e+01,5.220516229364963179e-02
4.845896452213280270e+01,9.183486188365735936e-02
5.257721657852760444e+01,2.505752340839028758e+00
5.637194977072965685e+01,7.765164672736501927e+01
6.039190001917800998e+01,6.218474522968989504e+02
6.433144313989645013e+01,7.045011780380648361e+02
6.873144313989645582e+01,7.070404225162739067e+02
7.193144313989645866e+01,7.070754734986933272e+02
7.593144313989645866e+01,7.070755431196504333e+02
7.833144313989646434e+01,7.070755463342686653e+02
8.319765316413503342e+01,7.070964121137842540e+02
8.697124561695767397e+01,7.090236099409031567e+02
9.241183382045184658e+01,9.728417764900825659e+02
9.742381945490851081e+01,1.693288709390614486e+03
9.957788537776231408e+01,2.033971675762891664e+03
1.055778853777623141e+02,2.086185882290062182e+03
1.115778853777623141e+02,2.086238503006589781e+03
1.155978356262106672e+02,2.086238543785009369e+03
1.219223909465474236e+02,2.086239250991866356e+03
1.255223909465474321e+02,2.086239279149467166e+03
1.305820352028168259e+02,2.086239280762602448e+03
1.361533905136904821e+02,2.086239327759302341e+03
1.424779458340272527e+02,2.086239386068958993e+03
1.481348000835196217e+02,2.086239386273593027e+03
1.530174223298131153e+02,2.086239578856683693e+03
1.575429057294070105e+02,2.086281756911148932e+03
1.631142610402806667e+02,2.113009050745341028e+03
1.679474794297184985e+02,2.394856335565762492e+03
1.731474794297184872e+02,2.417405522060696057e+03
1.791474794297184872e+02,3.081684511835919238e+03
1.811474794297184872e+02,3.438726628412700848e+03
