cumulative_distance,dose_with_radiation,dose_without_radiation
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.954788991170146772e+01,2.891152399543852169e+01,2.891152399543852169e+01
3.758784556574895674e+01,3.155039418596106415e+01,3.155039418596106415e+01
5.790926283915781880e+01,3.155039717291524326e+01,5.159338303717879626e+02
9.551777251449593109e+01,3.155039717710526403e+01,5.380922633050140576e+02
1.148671911104124490e+02,3.155343950782783224e+01,5.380922667854615611e+02
1.312720684339403476e+02,9.534671323133746910e+02,5.683275963241771933e+02
1.474510671668656983e+02,1.315959719696636967e+03,8.605423062472173115e+02
1.575228098164770358e+02,1.370847958990756069e+03,1.144040565121385043e+03
1.639726160151158751e+02,1.445672460571693591e+03,1.144056293948837038e+03
1.700914394314272045e+02,1.898629961190728181e+03,1.144056295326009149e+03
1.913855700781570590e+02,1.899688057191217695e+03,4.126315978528926280e+03
1.971544521188994281e+02,1.957499374830197667e+03,4.191749013750661106e+03
2.035544521188994338e+02,1.960407972057453208e+03,4.192574194780750076e+03
2.083876705083372656e+02,1.960411209037400340e+03,4.192574194806348714e+03
2.146102101827788715e+02,1.975788385875571066e+03,4.192592926052950133e+03
2.186102101827788715e+02,2.015873322423547506e+03,4.192593129155523457e+03
2.365211007245693509e+02,2.015883451098200794e+03,4.192598070168694903e+03
2.418577663502198902e+02,2.015883857716616149e+03,4.283054825399020956e+03
2.523572901489452533e+02,2.015883857716617513e+03,4.288203235490379484e+03
2.642904372610863106e+02,2.015883863298559845e+03,4.288206935466029790e+03
2.710904372610863220e+02,2.015883863298560073e+03,4.308408725446254721e+03
